job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,skills,salary_max,company_size_num,company_size_group,skills_clean,skill_count,salary_max_new
data scientist,lead,on-site,company_273,"Bellevue, WA",12 days ago,"Menlo Park, CA, US",Technology,Public,"94,570",€232.09B,"['sql', 'machine learning', 'r', 'python']",258507.0,94570.0,large,sql|machine learning|r|python,4,336059.10000000003
data scientist,lead,,company_244,"London, England, United Kingdom",8 days ago,"New York, NY, US",Finance,Public,"290,800",€352.90B,"['deep learning', 'python']",116803.0,290800.0,large,deep learning|python,2,151843.9
data scientist,senior,on-site,company_003,"Bentonville, AR",15 days ago,"Bentonville, AR, US",Retail,Public,€354.99B,Public,"['pytorch', 'spark', 'r', 'python', 'scala', 'opencv', 'machine learning', 'deep learning', 'tensorflow']",202387.0,354990000000.0,large,pytorch|spark|r|python|scala|opencv|machine learning|deep learning|tensorflow,9,263103.10000000003
data scientist,senior,,company_844,"Mountain View, CA",15 days ago,"Mountain View, CA, US",Technology,Public,"17,030",€95.17B,"['pandas', 'numpy', 'git', 'scikit-learn', 'python', 'linux', 'sql', 'machine learning', 'tableau']",170195.0,17030.0,medium,pandas|numpy|git|scikit-learn|python|linux|sql|machine learning|tableau,9,187214.50000000003
data scientist,senior,,company_134,"Hyderabad, Telangana, India",a month ago,"Seattle, WA, US",Retail,Public,"865,476",€838.73B,"['amazon', 'aws', 'r', 'python', 'scala', 'sql', 'machine learning', 'tableau']",99272.0,865476.0,large,amazon|aws|r|python|scala|sql|machine learning|tableau,8,129053.6
data scientist,lead,on-site,company_273,United States,5 days ago,"Menlo Park, CA, US",Technology,Public,"94,580",€231.89B,['machine learning'],288865.0,94580.0,large,machine learning,1,375524.5
machine learning engineer,senior,,company_941,"Bengaluru, Karnataka, India",8 days ago,"Dublin, IE",Technology,Public,"492,215",€154.11B,"['aws', 'gcp', 'azure']",20445.0,492215.0,large,aws|gcp|azure,3,26578.5
data scientist,senior,hybrid,company_003,"Bellevue, WA . Hybrid",15 days ago,"Bentonville, AR, US",Retail,Public,€354.99B,Public,"['pytorch', 'aws', 'python', 'docker', 'machine learning', 'gcp', 'kubernetes', 'azure', 'tensorflow']",287023.0,354990000000.0,large,pytorch|aws|python|docker|machine learning|gcp|kubernetes|azure|tensorflow,9,373129.9
machine learning engineer,junior,on-site,company_881,"San Jose, CA",14 days ago,CN,Technology,Private,"110,050",€129.19B,"['pytorch', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']",218487.0,110050.0,large,pytorch|python|neural network|machine learning|deep learning|tensorflow,6,284033.10000000003
data scientist,senior,on-site,company_134,"Arlington, VA . West Hollywood, CA . New York, United States . Austin, TX . Palo Alto, CA + 2 More",25 days ago,"Seattle, WA, US",Retail,Public,"865,466",€839.03B,"['amazon', 'aws', 'r', 'python', 'scala', 'sql', 'machine learning', 'tableau']",178472.0,865466.0,large,amazon|aws|r|python|scala|sql|machine learning|tableau,8,232013.6
